date,month,equipment,department,total_units,units_in_use,utilization_rate,maintenance_flag
2025-09-27,9,Defibrillator,Oncology,2,0,37.8,0
2025-09-27,9,Defibrillator,Neurology,2,0,24.9,0
2025-09-27,9,Defibrillator,ICU,2,0,30.6,0
2025-09-27,9,Defibrillator,Surgery,2,0,47.7,0
2025-09-27,9,Ultrasound,Orthopedics,1,0,64.6,0
2025-09-27,9,Ultrasound,Cardiology,1,0,60.6,0
2025-09-27,9,Ultrasound,General,1,0,70.2,0
2025-09-27,9,Pulse Oximeter,Neurology,10,7,71.0,0
2025-09-27,9,Pulse Oximeter,Cardiology,10,7,78.3,0
2025-09-27,9,Pulse Oximeter,General,10,8,82.3,0
2025-09-27,9,Pulse Oximeter,Oncology,10,6,60.6,1
2025-09-27,9,Pulse Oximeter,Surgery,10,7,76.3,1
2025-09-27,9,Pulse Oximeter,Orthopedics,10,7,73.8,0
2025-09-28,9,Ventilator,ICU,3,2,70.8,0
2025-09-28,9,Ventilator,Cardiology,3,2,86.3,0
2025-09-28,9,Ventilator,Orthopedics,3,2,75.8,0
2025-09-28,9,Ventilator,Pediatrics,3,2,77.0,0
2025-09-28,9,ECG Monitor,Neurology,5,3,63.0,0
2025-09-28,9,ECG Monitor,Emergency,5,3,66.5,0
2025-09-28,9,ECG Monitor,Cardiology,5,2,58.7,0
2025-09-28,9,ECG Monitor,General,5,3,66.4,0
2025-09-28,9,ECG Monitor,Surgery,5,3,67.1,0
2025-09-28,9,Infusion Pump,Orthopedics,8,6,79.4,0
2025-09-28,9,Infusion Pump,Pediatrics,8,6,80.6,0
2025-09-28,9,Infusion Pump,ICU,8,5,69.8,0
2025-09-28,9,Defibrillator,Oncology,2,1,56.8,0
2025-09-28,9,Defibrillator,Surgery,2,0,39.9,0
2025-09-28,9,Defibrillator,General,2,0,44.8,0
2025-09-28,9,Defibrillator,ICU,2,0,47.7,0
2025-09-28,9,Defibrillator,Maternity,2,0,37.0,0
2025-09-28,9,Ultrasound,ICU,1,0,63.8,0
2025-09-28,9,Ultrasound,General,1,0,56.4,0
2025-09-28,9,Ultrasound,Cardiology,1,0,57.4,0
2025-09-28,9,Ultrasound,Maternity,1,0,57.1,0
2025-09-28,9,Pulse Oximeter,Emergency,10,7,71.5,0
2025-09-28,9,Pulse Oximeter,Orthopedics,10,7,71.7,0
2025-09-28,9,Pulse Oximeter,Neurology,10,6,65.8,1
2025-09-28,9,Pulse Oximeter,Pediatrics,10,7,73.6,0
2025-09-28,9,Pulse Oximeter,Oncology,10,7,73.9,0
2025-09-28,9,Pulse Oximeter,Cardiology,10,8,85.6,0
2025-09-29,9,Ventilator,Surgery,3,1,65.9,0
2025-09-29,9,Ventilator,Neurology,3,2,66.9,0
2025-09-29,9,Ventilator,Orthopedics,3,1,66.6,0
2025-09-29,9,ECG Monitor,Pediatrics,5,3,65.5,0
2025-09-29,9,ECG Monitor,Surgery,5,3,66.3,0
2025-09-29,9,ECG Monitor,Neurology,5,3,62.4,0
2025-09-29,9,ECG Monitor,General,5,3,67.9,0
2025-09-29,9,ECG Monitor,Orthopedics,5,2,57.4,0
2025-09-29,9,Infusion Pump,General,8,6,76.9,0
2025-09-29,9,Infusion Pump,Neurology,8,6,81.4,0
2025-09-29,9,Infusion Pump,Oncology,8,7,87.6,0
2025-09-29,9,Infusion Pump,ICU,8,6,86.6,0
2025-09-29,9,Infusion Pump,Surgery,8,6,77.2,0
2025-09-29,9,Defibrillator,Surgery,2,0,30.8,1
2025-09-29,9,Defibrillator,Pediatrics,2,0,45.8,0
2025-09-29,9,Defibrillator,Cardiology,2,0,49.4,0
2025-09-29,9,Defibrillator,Orthopedics,2,0,48.0,0
2025-09-29,9,Defibrillator,Maternity,2,0,34.0,0
2025-09-29,9,Defibrillator,Emergency,2,0,45.4,0
2025-09-29,9,Ultrasound,General,1,0,65.5,0
2025-09-29,9,Ultrasound,Emergency,1,0,66.2,0
2025-09-29,9,Ultrasound,Cardiology,1,0,65.7,0
2025-09-29,9,Ultrasound,Surgery,1,0,57.3,0
2025-09-29,9,Pulse Oximeter,ICU,10,7,75.8,0
2025-09-29,9,Pulse Oximeter,Emergency,10,8,83.8,0
2025-09-29,9,Pulse Oximeter,Pediatrics,10,7,72.0,0
2025-09-29,9,Pulse Oximeter,Cardiology,10,7,71.6,0
2025-09-29,9,Pulse Oximeter,Neurology,10,8,80.5,0
2025-09-30,9,Ventilator,Surgery,3,2,72.5,0
2025-09-30,9,Ventilator,Cardiology,3,2,73.5,1
2025-09-30,9,Ventilator,Maternity,3,1,51.6,0
2025-09-30,9,Ventilator,Pediatrics,3,2,68.3,0
2025-09-30,9,Ventilator,ICU,3,2,74.1,1
2025-09-30,9,Ventilator,Neurology,3,2,68.7,0
2025-09-30,9,ECG Monitor,Emergency,5,3,62.8,0
2025-09-30,9,ECG Monitor,General,5,3,72.6,0
2025-09-30,9,ECG Monitor,Oncology,5,2,59.9,0
2025-09-30,9,ECG Monitor,Pediatrics,5,3,63.2,0
2025-09-30,9,ECG Monitor,Cardiology,5,3,66.0,0
2025-09-30,9,Infusion Pump,ICU,8,5,72.8,0
2025-09-30,9,Infusion Pump,Maternity,8,7,90.3,0
2025-09-30,9,Infusion Pump,Surgery,8,5,73.8,0
2025-09-30,9,Infusion Pump,Orthopedics,8,6,85.5,0
2025-09-30,9,Defibrillator,Emergency,2,1,52.8,0
2025-09-30,9,Defibrillator,General,2,0,30.9,0
2025-09-30,9,Defibrillator,Oncology,2,0,36.3,0
2025-09-30,9,Defibrillator,Surgery,2,0,39.6,0
2025-09-30,9,Ultrasound,General,1,0,60.5,0
2025-09-30,9,Ultrasound,Pediatrics,1,0,59.2,0
2025-09-30,9,Ultrasound,Emergency,1,0,65.2,0
2025-09-30,9,Ultrasound,Maternity,1,0,53.5,0
2025-09-30,9,Ultrasound,Surgery,1,0,58.5,0
2025-09-30,9,Pulse Oximeter,Maternity,10,6,67.6,0
2025-09-30,9,Pulse Oximeter,Cardiology,10,7,79.3,0
2025-09-30,9,Pulse Oximeter,General,10,7,75.0,0
2025-09-30,9,Pulse Oximeter,Neurology,10,7,77.1,0
2025-10-01,10,Ventilator,General,3,2,71.9,0
2025-10-01,10,Ventilator,Orthopedics,3,2,69.8,0
2025-10-01,10,Ventilator,Oncology,3,1,65.1,0
2025-10-01,10,Ventilator,Maternity,3,1,61.9,0
2025-10-01,10,Ventilator,ICU,3,2,82.2,0
2025-10-01,10,ECG Monitor,Maternity,5,3,65.5,0
2025-10-01,10,ECG Monitor,General,5,3,66.1,0
2025-10-01,10,ECG Monitor,Orthopedics,5,2,57.9,0
2025-10-01,10,ECG Monitor,Cardiology,5,3,67.9,0
2025-10-01,10,ECG Monitor,Surgery,5,2,59.4,0
2025-10-01,10,Infusion Pump,Emergency,8,7,95.4,0
2025-10-01,10,Infusion Pump,Surgery,8,5,64.4,0
2025-10-01,10,Infusion Pump,Cardiology,8,6,78.8,0
2025-10-01,10,Infusion Pump,Oncology,8,6,78.2,0
2025-10-01,10,Infusion Pump,Orthopedics,8,6,76.2,0
2025-10-01,10,Defibrillator,Emergency,2,0,28.8,0
2025-10-01,10,Defibrillator,ICU,2,0,39.3,0
2025-10-01,10,Defibrillator,Maternity,2,0,40.9,0
2025-10-01,10,Defibrillator,Pediatrics,2,0,31.9,0
2025-10-01,10,Ultrasound,Pediatrics,1,0,47.5,0
2025-10-01,10,Ultrasound,Neurology,1,0,61.9,0
2025-10-01,10,Ultrasound,Emergency,1,0,64.1,0
2025-10-01,10,Pulse Oximeter,Cardiology,10,7,71.6,0
2025-10-01,10,Pulse Oximeter,Neurology,10,7,78.5,0
2025-10-01,10,Pulse Oximeter,Orthopedics,10,7,72.3,0
2025-10-01,10,Pulse Oximeter,Oncology,10,7,75.2,0
2025-10-01,10,Pulse Oximeter,ICU,10,7,76.1,0
2025-10-01,10,Pulse Oximeter,General,10,6,61.6,0
2025-10-02,10,Ventilator,Cardiology,3,2,68.4,0
2025-10-02,10,Ventilator,Emergency,3,1,60.0,0
2025-10-02,10,Ventilator,Maternity,3,2,72.4,0
2025-10-02,10,Ventilator,Orthopedics,3,1,61.9,0
2025-10-02,10,ECG Monitor,Surgery,5,3,73.9,0
2025-10-02,10,ECG Monitor,Orthopedics,5,3,62.6,0
2025-10-02,10,ECG Monitor,Emergency,5,3,61.2,0
2025-10-02,10,ECG Monitor,Maternity,5,2,59.7,0
2025-10-02,10,Infusion Pump,Emergency,8,6,79.8,0
2025-10-02,10,Infusion Pump,Neurology,8,6,84.4,0
2025-10-02,10,Infusion Pump,General,8,5,74.5,0
2025-10-02,10,Defibrillator,Orthopedics,2,0,38.9,0
2025-10-02,10,Defibrillator,Cardiology,2,0,46.3,0
2025-10-02,10,Defibrillator,Surgery,2,0,28.6,0
2025-10-02,10,Ultrasound,Pediatrics,1,0,58.7,0
2025-10-02,10,Ultrasound,Cardiology,1,0,58.1,0
2025-10-02,10,Ultrasound,Surgery,1,0,52.6,0
2025-10-02,10,Ultrasound,Oncology,1,0,60.6,0
2025-10-02,10,Ultrasound,Neurology,1,0,58.1,0
2025-10-02,10,Ultrasound,Maternity,1,0,56.4,0
2025-10-02,10,Pulse Oximeter,Pediatrics,10,8,87.1,0
2025-10-02,10,Pulse Oximeter,Maternity,10,8,81.4,0
2025-10-02,10,Pulse Oximeter,Emergency,10,7,77.5,0
2025-10-02,10,Pulse Oximeter,Oncology,10,7,72.6,0
2025-10-03,10,Ventilator,Emergency,3,1,59.2,0
2025-10-03,10,Ventilator,Neurology,3,2,67.4,0
2025-10-03,10,Ventilator,Surgery,3,2,73.3,0
2025-10-03,10,Ventilator,Maternity,3,2,70.9,0
2025-10-03,10,Ventilator,ICU,3,2,67.9,0
2025-10-03,10,Ventilator,General,3,1,64.2,0
2025-10-03,10,ECG Monitor,Orthopedics,5,3,76.1,0
2025-10-03,10,ECG Monitor,Surgery,5,3,64.9,0
2025-10-03,10,ECG Monitor,Cardiology,5,3,77.3,0
2025-10-03,10,Infusion Pump,Surgery,8,6,81.5,0
2025-10-03,10,Infusion Pump,Neurology,8,6,86.3,0
2025-10-03,10,Infusion Pump,Cardiology,8,5,74.1,0
2025-10-03,10,Infusion Pump,Pediatrics,8,7,89.7,0
2025-10-03,10,Defibrillator,Maternity,2,0,46.8,0
2025-10-03,10,Defibrillator,Oncology,2,0,34.9,0
2025-10-03,10,Defibrillator,Neurology,2,0,48.4,1
2025-10-03,10,Defibrillator,ICU,2,0,38.1,0
2025-10-03,10,Ultrasound,Surgery,1,0,50.2,0
2025-10-03,10,Ultrasound,Maternity,1,0,56.3,0
2025-10-03,10,Ultrasound,Emergency,1,0,51.8,0
2025-10-03,10,Pulse Oximeter,General,10,7,77.7,0
2025-10-03,10,Pulse Oximeter,ICU,10,8,81.8,0
2025-10-03,10,Pulse Oximeter,Emergency,10,7,72.1,0
2025-10-03,10,Pulse Oximeter,Surgery,10,7,76.7,0
2025-10-03,10,Pulse Oximeter,Neurology,10,8,81.3,0
2025-10-03,10,Pulse Oximeter,Orthopedics,10,6,64.7,0
2025-10-04,10,Ventilator,Maternity,3,2,70.3,0
2025-10-04,10,Ventilator,Emergency,3,2,77.1,0
2025-10-04,10,Ventilator,Neurology,3,1,54.0,0
2025-10-04,10,Ventilator,Oncology,3,2,70.0,0
2025-10-04,10,ECG Monitor,General,5,3,71.7,0
2025-10-04,10,ECG Monitor,Surgery,5,3,69.8,0
2025-10-04,10,ECG Monitor,Pediatrics,5,3,60.2,0
2025-10-04,10,Infusion Pump,Surgery,8,6,78.5,0
2025-10-04,10,Infusion Pump,Neurology,8,5,74.9,0
2025-10-04,10,Infusion Pump,Orthopedics,8,6,80.0,0
2025-10-04,10,Infusion Pump,Emergency,8,5,71.8,0
2025-10-04,10,Infusion Pump,General,8,6,83.5,0
2025-10-04,10,Infusion Pump,Maternity,8,5,72.7,0
2025-10-04,10,Defibrillator,Cardiology,2,0,34.2,0
2025-10-04,10,Defibrillator,Neurology,2,0,45.6,0
2025-10-04,10,Defibrillator,Pediatrics,2,0,45.0,1
2025-10-04,10,Defibrillator,Orthopedics,2,0,40.6,0
2025-10-04,10,Defibrillator,Oncology,2,0,35.3,0
2025-10-04,10,Defibrillator,General,2,0,33.8,0
2025-10-04,10,Ultrasound,Pediatrics,1,0,61.6,0
2025-10-04,10,Ultrasound,Maternity,1,0,68.2,0
2025-10-04,10,Ultrasound,General,1,0,49.7,0
2025-10-04,10,Ultrasound,Neurology,1,0,73.5,0
2025-10-04,10,Ultrasound,ICU,1,0,59.6,0
2025-10-04,10,Pulse Oximeter,Surgery,10,7,76.1,0
2025-10-04,10,Pulse Oximeter,Emergency,10,8,82.2,0
2025-10-04,10,Pulse Oximeter,Pediatrics,10,8,86.0,0
2025-10-05,10,Ventilator,Pediatrics,3,1,49.7,0
2025-10-05,10,Ventilator,Neurology,3,1,63.8,0
2025-10-05,10,Ventilator,Cardiology,3,2,68.9,0
2025-10-05,10,ECG Monitor,Cardiology,5,2,51.5,0
2025-10-05,10,ECG Monitor,Pediatrics,5,3,65.1,0
2025-10-05,10,ECG Monitor,Emergency,5,3,67.1,0
2025-10-05,10,ECG Monitor,Oncology,5,3,64.1,0
2025-10-05,10,ECG Monitor,Surgery,5,4,82.3,0
2025-10-05,10,Infusion Pump,Maternity,8,7,92.5,0
2025-10-05,10,Infusion Pump,Pediatrics,8,6,80.3,0
2025-10-05,10,Infusion Pump,Emergency,8,7,89.1,0
2025-10-05,10,Infusion Pump,Oncology,8,7,91.1,0
2025-10-05,10,Infusion Pump,Neurology,8,7,94.7,0
2025-10-05,10,Defibrillator,ICU,2,1,59.1,0
2025-10-05,10,Defibrillator,Neurology,2,0,46.8,0
2025-10-05,10,Defibrillator,General,2,0,28.3,0
2025-10-05,10,Ultrasound,Maternity,1,0,64.2,0
2025-10-05,10,Ultrasound,Orthopedics,1,0,56.7,0
2025-10-05,10,Ultrasound,Cardiology,1,0,69.8,0
2025-10-05,10,Ultrasound,ICU,1,0,61.2,0
2025-10-05,10,Pulse Oximeter,General,10,8,82.8,1
2025-10-05,10,Pulse Oximeter,Orthopedics,10,5,52.7,0
2025-10-05,10,Pulse Oximeter,Surgery,10,8,83.5,0
2025-10-05,10,Pulse Oximeter,Maternity,10,8,81.3,0
2025-10-06,10,Ventilator,Oncology,3,1,60.6,0
2025-10-06,10,Ventilator,Maternity,3,2,70.4,0
2025-10-06,10,Ventilator,Orthopedics,3,2,68.0,0
2025-10-06,10,Ventilator,Pediatrics,3,1,57.5,0
2025-10-06,10,Ventilator,Neurology,3,1,63.5,0
2025-10-06,10,ECG Monitor,Neurology,5,3,64.3,0
2025-10-06,10,ECG Monitor,Cardiology,5,3,68.1,0
2025-10-06,10,ECG Monitor,Orthopedics,5,3,78.2,0
2025-10-06,10,Infusion Pump,Emergency,8,5,70.4,0
2025-10-06,10,Infusion Pump,Maternity,8,6,86.7,0
2025-10-06,10,Infusion Pump,Pediatrics,8,6,79.5,0
2025-10-06,10,Defibrillator,ICU,2,0,24.8,0
2025-10-06,10,Defibrillator,General,2,0,34.9,0
2025-10-06,10,Defibrillator,Oncology,2,0,48.7,0
2025-10-06,10,Defibrillator,Pediatrics,2,0,38.4,0
2025-10-06,10,Defibrillator,Cardiology,2,0,39.8,0
2025-10-06,10,Defibrillator,Maternity,2,0,49.8,0
2025-10-06,10,Ultrasound,General,1,0,69.6,0
2025-10-06,10,Ultrasound,Surgery,1,0,68.5,0
2025-10-06,10,Ultrasound,Emergency,1,0,48.1,0
2025-10-06,10,Ultrasound,ICU,1,0,67.9,1
2025-10-06,10,Pulse Oximeter,Emergency,10,6,66.9,0
2025-10-06,10,Pulse Oximeter,Oncology,10,7,70.8,0
2025-10-06,10,Pulse Oximeter,General,10,7,78.1,0
2025-10-06,10,Pulse Oximeter,ICU,10,8,85.8,0
2025-10-06,10,Pulse Oximeter,Maternity,10,8,80.4,0
2025-10-07,10,Ventilator,Cardiology,3,2,74.7,0
2025-10-07,10,Ventilator,Oncology,3,2,72.2,0
2025-10-07,10,Ventilator,Neurology,3,2,74.7,0
2025-10-07,10,ECG Monitor,General,5,2,53.5,0
2025-10-07,10,ECG Monitor,Orthopedics,5,3,68.7,0
2025-10-07,10,ECG Monitor,Emergency,5,2,54.9,0
2025-10-07,10,ECG Monitor,Surgery,5,3,65.0,0
2025-10-07,10,ECG Monitor,Cardiology,5,4,81.1,0
2025-10-07,10,ECG Monitor,Maternity,5,3,62.3,0
2025-10-07,10,Infusion Pump,Surgery,8,5,74.9,0
2025-10-07,10,Infusion Pump,Maternity,8,5,67.1,0
2025-10-07,10,Infusion Pump,Neurology,8,5,71.4,0
2025-10-07,10,Defibrillator,Pediatrics,2,0,35.8,0
2025-10-07,10,Defibrillator,Neurology,2,0,41.2,0
2025-10-07,10,Defibrillator,Surgery,2,0,44.8,0
2025-10-07,10,Defibrillator,Orthopedics,2,0,45.2,0
2025-10-07,10,Ultrasound,Neurology,1,0,71.7,0
2025-10-07,10,Ultrasound,ICU,1,0,63.6,0
2025-10-07,10,Ultrasound,Maternity,1,0,63.5,0
2025-10-07,10,Ultrasound,Pediatrics,1,0,68.1,0
2025-10-07,10,Pulse Oximeter,Neurology,10,7,75.6,0
2025-10-07,10,Pulse Oximeter,Oncology,10,8,80.5,0
2025-10-07,10,Pulse Oximeter,Orthopedics,10,6,68.9,0
2025-10-07,10,Pulse Oximeter,General,10,8,84.9,0
2025-10-08,10,Ventilator,General,3,2,77.9,0
2025-10-08,10,Ventilator,ICU,3,1,63.4,0
2025-10-08,10,Ventilator,Emergency,3,2,71.7,0
2025-10-08,10,Ventilator,Neurology,3,2,74.0,0
2025-10-08,10,ECG Monitor,ICU,5,2,48.6,0
2025-10-08,10,ECG Monitor,Surgery,5,3,60.3,0
2025-10-08,10,ECG Monitor,Neurology,5,2,59.8,0
2025-10-08,10,Infusion Pump,ICU,8,6,86.1,0
2025-10-08,10,Infusion Pump,Surgery,8,7,89.2,0
2025-10-08,10,Infusion Pump,Oncology,8,6,76.6,0
2025-10-08,10,Defibrillator,Maternity,2,0,33.0,0
2025-10-08,10,Defibrillator,Surgery,2,0,28.6,0
2025-10-08,10,Defibrillator,ICU,2,0,49.9,0
2025-10-08,10,Defibrillator,Emergency,2,0,45.7,0
2025-10-08,10,Ultrasound,Oncology,1,0,70.3,0
2025-10-08,10,Ultrasound,Surgery,1,0,52.5,0
2025-10-08,10,Ultrasound,Emergency,1,0,66.4,0
2025-10-08,10,Pulse Oximeter,Oncology,10,6,66.4,0
2025-10-08,10,Pulse Oximeter,Cardiology,10,8,84.7,0
2025-10-08,10,Pulse Oximeter,Orthopedics,10,8,80.1,0
2025-10-09,10,Ventilator,ICU,3,1,62.9,0
2025-10-09,10,Ventilator,Pediatrics,3,1,63.4,0
2025-10-09,10,Ventilator,General,3,2,78.5,0
2025-10-09,10,Ventilator,Cardiology,3,2,77.0,0
2025-10-09,10,ECG Monitor,Neurology,5,2,51.6,0
2025-10-09,10,ECG Monitor,Cardiology,5,3,67.6,0
2025-10-09,10,ECG Monitor,Oncology,5,3,65.9,1
2025-10-09,10,ECG Monitor,Pediatrics,5,3,67.5,0
2025-10-09,10,Infusion Pump,Cardiology,8,6,84.6,0
2025-10-09,10,Infusion Pump,Emergency,8,6,81.9,0
2025-10-09,10,Infusion Pump,General,8,7,87.7,0
2025-10-09,10,Defibrillator,Cardiology,2,0,40.4,0
2025-10-09,10,Defibrillator,Orthopedics,2,0,35.1,1
2025-10-09,10,Defibrillator,Emergency,2,0,43.3,1
2025-10-09,10,Ultrasound,Surgery,1,0,61.2,1
2025-10-09,10,Ultrasound,ICU,1,0,54.0,0
2025-10-09,10,Ultrasound,General,1,0,46.0,0
2025-10-09,10,Ultrasound,Maternity,1,0,58.3,0
2025-10-09,10,Pulse Oximeter,Neurology,10,7,74.9,0
2025-10-09,10,Pulse Oximeter,Emergency,10,7,78.0,0
2025-10-09,10,Pulse Oximeter,ICU,10,8,81.1,0
2025-10-09,10,Pulse Oximeter,Orthopedics,10,7,73.4,0
2025-10-09,10,Pulse Oximeter,Pediatrics,10,6,69.9,0
2025-10-10,10,Ventilator,General,3,1,63.2,0
2025-10-10,10,Ventilator,Oncology,3,1,63.0,0
2025-10-10,10,Ventilator,Neurology,3,1,61.4,0
2025-10-10,10,ECG Monitor,Orthopedics,5,2,55.1,0
2025-10-10,10,ECG Monitor,Neurology,5,3,63.1,0
2025-10-10,10,ECG Monitor,Emergency,5,2,55.3,0
2025-10-10,10,ECG Monitor,Oncology,5,3,74.4,0
2025-10-10,10,Infusion Pump,Oncology,8,5,66.2,0
2025-10-10,10,Infusion Pump,General,8,6,76.2,0
2025-10-10,10,Infusion Pump,Cardiology,8,6,81.1,1
2025-10-10,10,Infusion Pump,ICU,8,6,79.3,0
2025-10-10,10,Infusion Pump,Surgery,8,7,89.9,0
2025-10-10,10,Defibrillator,Neurology,2,0,32.7,0
2025-10-10,10,Defibrillator,Emergency,2,0,33.2,0
2025-10-10,10,Defibrillator,Cardiology,2,0,43.4,0
2025-10-10,10,Defibrillator,Pediatrics,2,0,41.5,0
2025-10-10,10,Defibrillator,Surgery,2,0,32.8,0
2025-10-10,10,Defibrillator,Orthopedics,2,0,32.3,0
2025-10-10,10,Ultrasound,Orthopedics,1,0,61.8,0
2025-10-10,10,Ultrasound,Oncology,1,0,66.9,0
2025-10-10,10,Ultrasound,Neurology,1,0,55.6,0
2025-10-10,10,Pulse Oximeter,Orthopedics,10,7,71.3,0
2025-10-10,10,Pulse Oximeter,Pediatrics,10,7,71.0,0
2025-10-10,10,Pulse Oximeter,Oncology,10,7,78.3,0
2025-10-10,10,Pulse Oximeter,Maternity,10,8,81.3,0
2025-10-10,10,Pulse Oximeter,Surgery,10,7,78.0,0
2025-10-10,10,Pulse Oximeter,ICU,10,6,67.1,0
2025-10-11,10,Ventilator,Pediatrics,3,1,63.2,0
2025-10-11,10,Ventilator,Surgery,3,2,72.9,0
2025-10-11,10,Ventilator,Cardiology,3,2,70.5,0
2025-10-11,10,ECG Monitor,General,5,3,62.1,0
2025-10-11,10,ECG Monitor,Neurology,5,3,71.0,1
2025-10-11,10,ECG Monitor,Pediatrics,5,3,64.7,0
2025-10-11,10,Infusion Pump,General,8,5,69.3,0
2025-10-11,10,Infusion Pump,Emergency,8,5,70.1,0
2025-10-11,10,Infusion Pump,ICU,8,6,76.1,0
2025-10-11,10,Infusion Pump,Oncology,8,6,82.5,0
2025-10-11,10,Defibrillator,Pediatrics,2,0,40.5,1
2025-10-11,10,Defibrillator,Orthopedics,2,0,35.5,0
2025-10-11,10,Defibrillator,Cardiology,2,0,36.4,0
2025-10-11,10,Defibrillator,ICU,2,0,46.0,0
2025-10-11,10,Defibrillator,Maternity,2,1,58.9,0
2025-10-11,10,Ultrasound,Maternity,1,0,77.5,0
2025-10-11,10,Ultrasound,Neurology,1,0,76.4,1
2025-10-11,10,Ultrasound,Cardiology,1,0,65.1,0
2025-10-11,10,Ultrasound,Pediatrics,1,0,57.5,0
2025-10-11,10,Pulse Oximeter,ICU,10,8,88.2,0
2025-10-11,10,Pulse Oximeter,Cardiology,10,7,76.8,0
2025-10-11,10,Pulse Oximeter,Emergency,10,8,89.8,0
2025-10-11,10,Pulse Oximeter,Oncology,10,8,84.6,0
2025-10-12,10,Ventilator,Maternity,3,2,73.2,0
2025-10-12,10,Ventilator,Neurology,3,1,55.5,0
2025-10-12,10,Ventilator,Surgery,3,2,82.1,0
2025-10-12,10,Ventilator,Orthopedics,3,2,68.8,0
2025-10-12,10,ECG Monitor,Maternity,5,3,62.3,0
2025-10-12,10,ECG Monitor,Pediatrics,5,3,61.5,0
2025-10-12,10,ECG Monitor,Emergency,5,2,57.5,0
2025-10-12,10,Infusion Pump,Oncology,8,5,74.6,0
2025-10-12,10,Infusion Pump,Cardiology,8,7,88.4,1
2025-10-12,10,Infusion Pump,Surgery,8,6,83.0,0
2025-10-12,10,Defibrillator,Surgery,2,0,41.9,0
2025-10-12,10,Defibrillator,Maternity,2,0,47.7,0
2025-10-12,10,Defibrillator,Emergency,2,0,37.2,0
2025-10-12,10,Defibrillator,ICU,2,0,44.7,1
2025-10-12,10,Ultrasound,Neurology,1,0,70.3,0
2025-10-12,10,Ultrasound,Cardiology,1,0,55.1,0
2025-10-12,10,Ultrasound,Maternity,1,0,49.9,0
2025-10-12,10,Ultrasound,ICU,1,0,67.2,0
2025-10-12,10,Ultrasound,Pediatrics,1,0,73.0,0
2025-10-12,10,Pulse Oximeter,Pediatrics,10,6,66.4,1
2025-10-12,10,Pulse Oximeter,Emergency,10,7,71.6,1
2025-10-12,10,Pulse Oximeter,Oncology,10,7,75.9,0
2025-10-13,10,Ventilator,ICU,3,1,64.3,0
2025-10-13,10,Ventilator,Maternity,3,2,66.7,0
2025-10-13,10,Ventilator,Oncology,3,1,66.6,0
2025-10-13,10,Ventilator,Surgery,3,2,75.7,0
2025-10-13,10,Ventilator,Pediatrics,3,1,64.6,0
2025-10-13,10,Ventilator,Orthopedics,3,2,69.3,0
2025-10-13,10,ECG Monitor,Maternity,5,2,59.9,0
2025-10-13,10,ECG Monitor,Emergency,5,3,76.2,0
2025-10-13,10,ECG Monitor,Orthopedics,5,3,74.6,0
2025-10-13,10,ECG Monitor,Pediatrics,5,2,59.0,0
2025-10-13,10,Infusion Pump,Emergency,8,6,79.0,0
