date,month,day_of_week,department,total_beds,occupied,available,reserved,maintenance,occupancy_rate
2025-04-10,4,Thursday,Neurology,15,11,4,0,0,75.4
2025-04-10,4,Thursday,Oncology,15,10,5,0,0,71.4
2025-04-11,4,Friday,ICU,20,14,6,1,0,72.2
2025-04-11,4,Friday,General,50,36,14,1,0,73.4
2025-04-11,4,Friday,Emergency,30,22,8,1,0,73.4
2025-04-11,4,Friday,Pediatrics,25,18,7,0,0,72.2
2025-04-11,4,Friday,Maternity,20,14,6,0,0,74.3
2025-04-11,4,Friday,Surgery,15,10,5,1,0,69.9
2025-04-11,4,Friday,Cardiology,20,14,6,0,0,72.6
2025-04-11,4,Friday,Orthopedics,20,13,7,0,0,68.6
2025-04-11,4,Friday,Neurology,15,10,5,0,0,69.6
2025-04-11,4,Friday,Oncology,15,11,4,0,0,76.2
2025-04-12,4,Saturday,ICU,20,13,7,0,0,68.5
2025-04-12,4,Saturday,General,50,36,14,0,0,72.3
2025-04-12,4,Saturday,Emergency,30,23,7,0,0,78.4
2025-04-12,4,Saturday,Pediatrics,25,17,8,0,0,71.0
2025-04-12,4,Saturday,Maternity,20,14,6,0,0,72.2
2025-04-12,4,Saturday,Surgery,15,10,5,0,0,70.0
2025-04-12,4,Saturday,Cardiology,20,14,6,1,0,71.8
2025-04-12,4,Saturday,Orthopedics,20,14,6,1,0,73.6
2025-04-12,4,Saturday,Neurology,15,11,4,0,0,77.5
2025-04-12,4,Saturday,Oncology,15,11,4,0,0,73.7
2025-04-13,4,Sunday,ICU,20,14,6,1,0,70.8
2025-04-13,4,Sunday,General,50,36,14,0,0,73.1
2025-04-13,4,Sunday,Emergency,30,20,10,1,0,69.5
2025-04-13,4,Sunday,Pediatrics,25,19,6,1,0,77.4
2025-04-13,4,Sunday,Maternity,20,15,5,1,0,79.8
2025-04-13,4,Sunday,Surgery,15,10,5,1,0,71.0
2025-04-13,4,Sunday,Cardiology,20,14,6,0,0,73.1
2025-04-13,4,Sunday,Orthopedics,20,15,5,0,0,78.4
2025-04-13,4,Sunday,Neurology,15,10,5,1,0,70.5
2025-04-13,4,Sunday,Oncology,15,10,5,0,0,67.6
2025-04-14,4,Monday,ICU,20,15,5,1,0,79.6
2025-04-14,4,Monday,General,50,34,16,0,0,69.1
2025-04-14,4,Monday,Emergency,30,23,7,0,0,76.9
2025-04-14,4,Monday,Pediatrics,25,17,8,1,0,71.0
2025-04-14,4,Monday,Maternity,20,14,6,0,0,71.2
2025-04-14,4,Monday,Surgery,15,10,5,0,0,72.7
2025-04-14,4,Monday,Cardiology,20,15,5,0,0,75.2
2025-04-14,4,Monday,Orthopedics,20,14,6,1,0,71.7
2025-04-14,4,Monday,Neurology,15,10,5,1,0,72.2
2025-04-14,4,Monday,Oncology,15,11,4,1,0,77.3
2025-04-15,4,Tuesday,ICU,20,15,5,0,0,77.3
2025-04-15,4,Tuesday,General,50,35,15,1,0,71.5
2025-04-15,4,Tuesday,Emergency,30,21,9,1,0,72.3
2025-04-15,4,Tuesday,Pediatrics,25,19,6,1,0,77.7
2025-04-15,4,Tuesday,Maternity,20,15,5,1,0,77.9
2025-04-15,4,Tuesday,Surgery,15,11,4,0,0,73.5
2025-04-15,4,Tuesday,Cardiology,20,15,5,0,0,78.0
2025-04-15,4,Tuesday,Orthopedics,20,15,5,0,0,75.1
2025-04-15,4,Tuesday,Neurology,15,11,4,0,0,76.3
2025-04-15,4,Tuesday,Oncology,15,11,4,0,0,77.9
2025-04-16,4,Wednesday,ICU,20,14,6,1,0,70.0
2025-04-16,4,Wednesday,General,50,35,15,0,0,71.0
2025-04-16,4,Wednesday,Emergency,30,20,10,1,0,67.3
2025-04-16,4,Wednesday,Pediatrics,25,17,8,1,0,69.7
2025-04-16,4,Wednesday,Maternity,20,14,6,0,0,71.6
2025-04-16,4,Wednesday,Surgery,15,11,4,1,0,76.5
2025-04-16,4,Wednesday,Cardiology,20,15,5,1,0,78.9
2025-04-16,4,Wednesday,Orthopedics,20,13,7,0,0,68.8
2025-04-16,4,Wednesday,Neurology,15,11,4,0,0,76.5
2025-04-16,4,Wednesday,Oncology,15,10,5,0,0,67.8
2025-04-17,4,Thursday,ICU,20,13,7,0,0,68.2
2025-04-17,4,Thursday,General,50,39,11,1,0,79.7
2025-04-17,4,Thursday,Emergency,30,21,9,1,0,70.4
2025-04-17,4,Thursday,Pediatrics,25,19,6,1,0,77.0
2025-04-17,4,Thursday,Maternity,20,15,5,0,0,76.1
2025-04-17,4,Thursday,Surgery,15,10,5,1,0,70.3
2025-04-17,4,Thursday,Cardiology,20,13,7,1,0,68.5
2025-04-17,4,Thursday,Orthopedics,20,13,7,1,0,68.7
2025-04-17,4,Thursday,Neurology,15,11,4,0,0,77.6
2025-04-17,4,Thursday,Oncology,15,11,4,1,0,77.4
2025-04-18,4,Friday,ICU,20,15,5,0,0,76.9
2025-04-18,4,Friday,General,50,36,14,0,0,73.2
2025-04-18,4,Friday,Emergency,30,20,10,1,0,67.1
2025-04-18,4,Friday,Pediatrics,25,17,8,0,0,69.2
2025-04-18,4,Friday,Maternity,20,14,6,0,0,71.7
2025-04-18,4,Friday,Surgery,15,10,5,0,0,72.8
2025-04-18,4,Friday,Cardiology,20,14,6,1,0,74.6
2025-04-18,4,Friday,Orthopedics,20,14,6,0,0,70.3
2025-04-18,4,Friday,Neurology,15,10,5,0,0,71.6
2025-04-18,4,Friday,Oncology,15,11,4,0,0,78.3
2025-04-19,4,Saturday,ICU,20,13,7,0,0,67.0
2025-04-19,4,Saturday,General,50,33,17,0,0,67.9
2025-04-19,4,Saturday,Emergency,30,23,7,0,0,79.0
2025-04-19,4,Saturday,Pediatrics,25,17,8,0,0,70.6
2025-04-19,4,Saturday,Maternity,20,14,6,0,0,73.4
2025-04-19,4,Saturday,Surgery,15,11,4,1,0,79.7
2025-04-19,4,Saturday,Cardiology,20,15,5,1,0,76.0
2025-04-19,4,Saturday,Orthopedics,20,14,6,0,0,71.0
2025-04-19,4,Saturday,Neurology,15,11,4,0,0,77.1
2025-04-19,4,Saturday,Oncology,15,11,4,1,0,76.6
2025-04-20,4,Sunday,ICU,20,15,5,0,0,79.3
2025-04-20,4,Sunday,General,50,39,11,0,0,78.4
2025-04-20,4,Sunday,Emergency,30,20,10,0,0,69.3
2025-04-20,4,Sunday,Pediatrics,25,19,6,0,0,77.5
2025-04-20,4,Sunday,Maternity,20,14,6,0,0,74.3
2025-04-20,4,Sunday,Surgery,15,10,5,1,0,71.2
2025-04-20,4,Sunday,Cardiology,20,14,6,1,0,70.1
2025-04-20,4,Sunday,Orthopedics,20,13,7,0,0,67.1
2025-04-20,4,Sunday,Neurology,15,10,5,0,0,71.7
2025-04-20,4,Sunday,Oncology,15,10,5,0,0,70.1
2025-04-21,4,Monday,ICU,20,15,5,0,0,79.1
2025-04-21,4,Monday,General,50,33,17,0,0,67.4
2025-04-21,4,Monday,Emergency,30,21,9,1,0,71.5
2025-04-21,4,Monday,Pediatrics,25,19,6,1,0,76.0
2025-04-21,4,Monday,Maternity,20,14,6,1,0,70.7
2025-04-21,4,Monday,Surgery,15,10,5,1,0,69.1
2025-04-21,4,Monday,Cardiology,20,14,6,0,0,72.7
2025-04-21,4,Monday,Orthopedics,20,14,6,1,0,71.4
2025-04-21,4,Monday,Neurology,15,10,5,1,0,67.2
2025-04-21,4,Monday,Oncology,15,10,5,0,0,72.5
2025-04-22,4,Tuesday,ICU,20,13,7,0,0,68.0
2025-04-22,4,Tuesday,General,50,33,17,0,0,67.2
2025-04-22,4,Tuesday,Emergency,30,21,9,0,0,70.7
2025-04-22,4,Tuesday,Pediatrics,25,18,7,0,0,73.1
2025-04-22,4,Tuesday,Maternity,20,15,5,0,0,77.1
2025-04-22,4,Tuesday,Surgery,15,11,4,0,0,77.1
2025-04-22,4,Tuesday,Cardiology,20,15,5,1,0,76.6
2025-04-22,4,Tuesday,Orthopedics,20,15,5,1,0,77.4
2025-04-22,4,Tuesday,Neurology,15,10,5,1,0,69.5
2025-04-22,4,Tuesday,Oncology,15,11,4,1,0,79.4
2025-04-23,4,Wednesday,ICU,20,14,6,1,0,74.1
2025-04-23,4,Wednesday,General,50,37,13,0,0,74.4
2025-04-23,4,Wednesday,Emergency,30,22,8,0,0,76.0
2025-04-23,4,Wednesday,Pediatrics,25,18,7,1,0,75.1
2025-04-23,4,Wednesday,Maternity,20,14,6,0,0,72.8
2025-04-23,4,Wednesday,Surgery,15,10,5,1,0,69.8
2025-04-23,4,Wednesday,Cardiology,20,14,6,0,0,74.1
2025-04-23,4,Wednesday,Orthopedics,20,15,5,0,0,79.3
2025-04-23,4,Wednesday,Neurology,15,11,4,0,0,76.0
2025-04-23,4,Wednesday,Oncology,15,11,4,1,0,75.4
2025-04-24,4,Thursday,ICU,20,15,5,0,0,76.4
2025-04-24,4,Thursday,General,50,34,16,0,0,68.6
2025-04-24,4,Thursday,Emergency,30,20,10,0,0,68.1
2025-04-24,4,Thursday,Pediatrics,25,18,7,0,0,73.1
2025-04-24,4,Thursday,Maternity,20,15,5,0,0,75.1
2025-04-24,4,Thursday,Surgery,15,11,4,1,0,75.4
2025-04-24,4,Thursday,Cardiology,20,15,5,0,0,76.6
2025-04-24,4,Thursday,Orthopedics,20,15,5,0,0,75.0
2025-04-24,4,Thursday,Neurology,15,11,4,1,0,77.1
2025-04-24,4,Thursday,Oncology,15,10,5,0,0,73.2
2025-04-25,4,Friday,ICU,20,15,5,1,0,78.6
2025-04-25,4,Friday,General,50,34,16,1,0,68.2
2025-04-25,4,Friday,Emergency,30,22,8,1,0,73.5
2025-04-25,4,Friday,Pediatrics,25,18,7,1,0,73.2
2025-04-25,4,Friday,Maternity,20,13,7,1,0,69.5
2025-04-25,4,Friday,Surgery,15,10,5,1,0,72.9
2025-04-25,4,Friday,Cardiology,20,15,5,1,0,75.1
2025-04-25,4,Friday,Orthopedics,20,15,5,1,0,78.6
2025-04-25,4,Friday,Neurology,15,11,4,0,0,74.2
2025-04-25,4,Friday,Oncology,15,10,5,0,0,72.7
2025-04-26,4,Saturday,ICU,20,14,6,1,0,71.1
2025-04-26,4,Saturday,General,50,35,15,0,0,71.9
2025-04-26,4,Saturday,Emergency,30,21,9,0,0,71.7
2025-04-26,4,Saturday,Pediatrics,25,19,6,1,0,78.7
2025-04-26,4,Saturday,Maternity,20,15,5,0,0,79.1
2025-04-26,4,Saturday,Surgery,15,11,4,1,0,75.5
2025-04-26,4,Saturday,Cardiology,20,13,7,1,0,67.1
2025-04-26,4,Saturday,Orthopedics,20,13,7,1,0,69.4
2025-04-26,4,Saturday,Neurology,15,11,4,1,0,79.8
2025-04-26,4,Saturday,Oncology,15,10,5,0,0,71.4
2025-04-27,4,Sunday,ICU,20,14,6,0,0,71.1
2025-04-27,4,Sunday,General,50,39,11,1,0,79.3
2025-04-27,4,Sunday,Emergency,30,22,8,0,0,73.8
2025-04-27,4,Sunday,Pediatrics,25,19,6,1,0,77.1
2025-04-27,4,Sunday,Maternity,20,13,7,0,0,67.7
2025-04-27,4,Sunday,Surgery,15,11,4,1,0,78.7
2025-04-27,4,Sunday,Cardiology,20,15,5,0,0,78.6
2025-04-27,4,Sunday,Orthopedics,20,15,5,0,0,77.7
2025-04-27,4,Sunday,Neurology,15,11,4,0,0,73.3
2025-04-27,4,Sunday,Oncology,15,10,5,1,0,67.1
2025-04-28,4,Monday,ICU,20,14,6,1,0,70.7
2025-04-28,4,Monday,General,50,38,12,0,0,76.9
2025-04-28,4,Monday,Emergency,30,22,8,0,0,76.2
2025-04-28,4,Monday,Pediatrics,25,19,6,0,0,78.6
2025-04-28,4,Monday,Maternity,20,14,6,1,0,74.9
2025-04-28,4,Monday,Surgery,15,10,5,0,0,71.7
2025-04-28,4,Monday,Cardiology,20,14,6,1,0,73.3
2025-04-28,4,Monday,Orthopedics,20,14,6,0,0,70.7
2025-04-28,4,Monday,Neurology,15,10,5,1,0,72.8
2025-04-28,4,Monday,Oncology,15,11,4,1,0,74.3
2025-04-29,4,Tuesday,ICU,20,13,7,0,0,68.1
2025-04-29,4,Tuesday,General,50,33,17,0,0,67.7
2025-04-29,4,Tuesday,Emergency,30,21,9,1,0,71.4
2025-04-29,4,Tuesday,Pediatrics,25,18,7,1,0,73.3
2025-04-29,4,Tuesday,Maternity,20,14,6,1,0,72.3
2025-04-29,4,Tuesday,Surgery,15,11,4,1,0,73.5
2025-04-29,4,Tuesday,Cardiology,20,14,6,0,0,70.5
2025-04-29,4,Tuesday,Orthopedics,20,15,5,0,0,78.4
2025-04-29,4,Tuesday,Neurology,15,11,4,1,0,76.1
2025-04-29,4,Tuesday,Oncology,15,11,4,1,0,74.4
2025-04-30,4,Wednesday,ICU,20,13,7,1,0,68.3
2025-04-30,4,Wednesday,General,50,39,11,1,0,79.1
2025-04-30,4,Wednesday,Emergency,30,21,9,1,0,72.3
2025-04-30,4,Wednesday,Pediatrics,25,18,7,0,0,74.9
2025-04-30,4,Wednesday,Maternity,20,15,5,0,0,79.6
2025-04-30,4,Wednesday,Surgery,15,10,5,1,0,70.8
2025-04-30,4,Wednesday,Cardiology,20,13,7,0,0,69.8
2025-04-30,4,Wednesday,Orthopedics,20,13,7,0,0,68.0
2025-04-30,4,Wednesday,Neurology,15,10,5,0,0,71.0
2025-04-30,4,Wednesday,Oncology,15,10,5,0,0,71.1
2025-05-01,5,Thursday,ICU,20,15,5,1,0,76.3
2025-05-01,5,Thursday,General,50,37,13,1,0,75.0
2025-05-01,5,Thursday,Emergency,30,22,8,1,0,75.5
2025-05-01,5,Thursday,Pediatrics,25,18,7,0,0,73.6
2025-05-01,5,Thursday,Maternity,20,14,6,1,0,74.9
2025-05-01,5,Thursday,Surgery,15,11,4,0,0,79.0
2025-05-01,5,Thursday,Cardiology,20,14,6,0,0,73.0
2025-05-01,5,Thursday,Orthopedics,20,15,5,0,0,76.5
2025-05-01,5,Thursday,Neurology,15,11,4,0,0,75.3
2025-05-01,5,Thursday,Oncology,15,11,4,1,0,77.8
2025-05-02,5,Friday,ICU,20,14,6,1,0,70.8
2025-05-02,5,Friday,General,50,34,16,1,0,68.9
2025-05-02,5,Friday,Emergency,30,23,7,1,0,76.8
2025-05-02,5,Friday,Pediatrics,25,19,6,0,0,78.3
2025-05-02,5,Friday,Maternity,20,15,5,1,0,78.7
2025-05-02,5,Friday,Surgery,15,11,4,0,0,78.4
2025-05-02,5,Friday,Cardiology,20,15,5,0,0,77.5
2025-05-02,5,Friday,Orthopedics,20,13,7,0,0,69.0
2025-05-02,5,Friday,Neurology,15,11,4,1,0,77.3
2025-05-02,5,Friday,Oncology,15,10,5,1,0,73.1
2025-05-03,5,Saturday,ICU,20,14,6,1,0,73.1
2025-05-03,5,Saturday,General,50,33,17,1,0,67.9
2025-05-03,5,Saturday,Emergency,30,23,7,0,0,78.3
2025-05-03,5,Saturday,Pediatrics,25,16,9,0,0,67.5
2025-05-03,5,Saturday,Maternity,20,14,6,0,0,74.1
2025-05-03,5,Saturday,Surgery,15,11,4,0,0,74.9
2025-05-03,5,Saturday,Cardiology,20,13,7,0,0,69.6
2025-05-03,5,Saturday,Orthopedics,20,15,5,0,0,79.6
2025-05-03,5,Saturday,Neurology,15,10,5,1,0,72.9
2025-05-03,5,Saturday,Oncology,15,11,4,1,0,76.1
2025-05-04,5,Sunday,ICU,20,14,6,1,0,72.4
2025-05-04,5,Sunday,General,50,37,13,0,0,75.1
2025-05-04,5,Sunday,Emergency,30,22,8,0,0,74.3
2025-05-04,5,Sunday,Pediatrics,25,17,8,0,0,69.7
2025-05-04,5,Sunday,Maternity,20,14,6,0,0,70.9
2025-05-04,5,Sunday,Surgery,15,11,4,0,0,78.3
2025-05-04,5,Sunday,Cardiology,20,14,6,0,0,73.5
2025-05-04,5,Sunday,Orthopedics,20,13,7,1,0,69.0
2025-05-04,5,Sunday,Neurology,15,10,5,1,0,71.8
2025-05-04,5,Sunday,Oncology,15,11,4,1,0,77.6
2025-05-05,5,Monday,ICU,20,15,5,1,0,78.9
2025-05-05,5,Monday,General,50,38,12,0,0,77.6
2025-05-05,5,Monday,Emergency,30,21,9,1,0,72.8
2025-05-05,5,Monday,Pediatrics,25,18,7,0,0,74.3
2025-05-05,5,Monday,Maternity,20,13,7,1,0,69.3
2025-05-05,5,Monday,Surgery,15,10,5,1,0,69.3
2025-05-05,5,Monday,Cardiology,20,14,6,1,0,74.9
2025-05-05,5,Monday,Orthopedics,20,15,5,1,0,79.1
2025-05-05,5,Monday,Neurology,15,11,4,1,0,77.2
2025-05-05,5,Monday,Oncology,15,10,5,0,0,69.4
